"Candidate","Number of votes","Percent","Source","Precincts_Reported"
"Sarah Mikesell","5289","97.60%","School Board District 2","8 precincts in contest. 8 of 8 precincts reported."
"WRITE-IN","130","2.40%","School Board District 2","8 precincts in contest. 8 of 8 precincts reported."
