"Candidate","Number of votes","Percent","Source","Precincts_Reported"
"Roz Randorf","2588","97.15%","Council District 3","6 precincts in contest. 6 of 6 precincts reported in municipality."
"WRITE-IN","76","2.85%","Council District 3","6 precincts in contest. 6 of 6 precincts reported in municipality."
