"Candidate","Number of votes","Percent","Source","Precincts_Reported"
"Henry L. Banks","2055","51.67%","School Board District 3","9 precincts in contest. 6 of 9 precincts reported."
"Loren Martell","1890","47.52%","School Board District 3","9 precincts in contest. 6 of 9 precincts reported."
"WRITE-IN","32","0.80%","School Board District 3","9 precincts in contest. 6 of 9 precincts reported."
