"Candidate","Number of votes","Percent","Source","Precincts_Reported"
"Alanna Oswald","6263","45.14%","School Board At Large","38 precincts in contest. 20 of 38 precincts reported."
"Stephanie Williams","7394","53.29%","School Board At Large","38 precincts in contest. 20 of 38 precincts reported."
"WRITE-IN","219","1.58%","School Board At Large","38 precincts in contest. 20 of 38 precincts reported."
