"Candidate","Number of votes","Percent","Source","Precincts_Reported"
"Timothy L. Meyer","2015","47.94%","Council District 1","7 precincts in contest. 4 of 7 precincts reported in municipality."
"Wendy Durrwachter","2163","51.46%","Council District 1","7 precincts in contest. 4 of 7 precincts reported in municipality."
"WRITE-IN","25","0.59%","Council District 1","7 precincts in contest. 4 of 7 precincts reported in municipality."
