"Candidate","Number of votes","Percent","Source","Precincts_Reported"
"YES","14158","49.85%","School Referendum Question 2","38 precincts in contest. 36 of 38 precincts reported."
"NO","14243","50.15%","School Referendum Question 2","38 precincts in contest. 36 of 38 precincts reported."
