"Candidate","Number of votes","Percent","Source","Precincts_Reported"
"YES","4190","59.89%","School Referendum Question 1","38 precincts in contest. 10 of 38 precincts reported."
"NO","2806","40.11%","School Referendum Question 1","38 precincts in contest. 10 of 38 precincts reported."
