"Candidate","Number of votes","Percent","Source","Precincts_Reported"
"Ginka Tarnowski","1212","35.83%","Council District 5","8 precincts in contest. 5 of 8 precincts reported in municipality."
"Janet Kennedy","2158","63.79%","Council District 5","8 precincts in contest. 5 of 8 precincts reported in municipality."
"WRITE-IN","13","0.38%","Council District 5","8 precincts in contest. 5 of 8 precincts reported in municipality."
