"County: Precinct"," Ginka Tarnowski"," Janet Kennedy","WI WRITE-IN","VoteTotal"," Ginka Tarnowski_Percentage"," Janet Kennedy_Percentage","WI WRITE-IN_Percentage","County: Precinct_New"," Ginka Tarnowski_New"," Janet Kennedy_New","WI WRITE-IN_New","VoteTotal_New"," Ginka Tarnowski_Percentage_New"," Janet Kennedy_Percentage_New","WI WRITE-IN_Percentage_New"
"DULUTH P-28",145,253,2,400,36.25,63.25,0.5,"DULUTH P-28",145,253,2,400,36.25,63.25,0.5
"DULUTH P-29",371,664,11,1046,35.4684512428298,63.4799235181644,1.05162523900574,"DULUTH P-29",371,664,11,1046,35.4684512428298,63.4799235181644,1.05162523900574
"DULUTH P-30",291,496,1,788,36.9289340101523,62.9441624365482,0.126903553299492,"DULUTH P-30",291,496,1,788,36.9289340101523,62.9441624365482,0.126903553299492
"DULUTH P-31",208,351,2,561,37.0766488413547,62.5668449197861,0.35650623885918,"DULUTH P-31",208,351,2,561,37.0766488413547,62.5668449197861,0.35650623885918
"DULUTH P-32",379,715,5,1099,34.4858962693358,65.0591446769791,0.454959053685168,"DULUTH P-32",379,715,5,1099,34.4858962693358,65.0591446769791,0.454959053685168
"DULUTH P-33",189,343,3,535,35.3271028037383,64.1121495327103,0.560747663551402,"DULUTH P-33",189,343,3,535,35.3271028037383,64.1121495327103,0.560747663551402
"DULUTH P-34",128,285,3,416,30.7692307692308,68.5096153846154,0.721153846153846,"DULUTH P-34",128,285,3,416,30.7692307692308,68.5096153846154,0.721153846153846
"DULUTH P-35",119,278,4,401,29.6758104738155,69.3266832917706,0.997506234413965,"DULUTH P-35",119,278,4,401,29.6758104738155,69.3266832917706,0.997506234413965
